tanggal,kandang,lokasi,umur_hari,populasi_awal,populasi_akhir,mortalitas,suhu_c,kelembaban,wqi,aqi,berat_rata_kg,total_pakan_kg,fcr,performa
2025-11-14,K009,A,33,6763,6618,145,25.0,74.2,86.6,96.8,2.06,22.93,1.68,Sedang
2025-02-21,K062,D,35,7737,7510,227,31.2,82.3,60.6,91.1,1.51,20.94,1.84,Boros
2025-02-23,K092,E,32,7931,7750,181,28.8,80.5,75.8,119.1,1.77,24.2,1.76,Sedang
2025-07-22,K055,C,29,3608,3522,86,29.1,73.4,69.7,96.2,1.8,11.63,1.83,Boros
2025-05-04,K073,D,31,3146,3049,97,32.9,84.3,68.6,99.6,1.42,8.22,1.9,Boros
2025-12-18,K020,A,28,3623,3542,81,26.0,79.6,75.7,99.3,1.76,10.75,1.73,Sedang
2025-01-02,K060,C,30,6191,6016,175,33.3,59.9,76.2,97.6,1.74,20.2,1.93,Boros
2025-04-26,K033,B,33,7067,6906,161,28.8,63.9,87.1,100.3,1.97,24.34,1.79,Sedang
2025-03-09,K033,B,34,5735,5609,126,27.4,76.3,75.2,106.3,1.84,18.6,1.8,Boros
2025-01-22,K076,D,33,7548,7333,215,31.3,82.7,66.3,120.8,1.54,21.63,1.92,Boros
2025-10-31,K061,D,28,3301,3213,88,28.4,83.6,71.4,93.4,1.36,7.75,1.77,Sedang
2025-04-05,K053,C,35,3569,3474,95,30.0,70.1,62.9,93.3,1.56,9.32,1.73,Sedang
2025-12-26,K067,D,29,7341,7148,193,28.3,74.9,77.7,83.7,1.52,20.09,1.84,Boros
2025-02-08,K048,C,32,6847,6655,192,33.1,66.5,70.2,110.8,1.53,19.54,1.92,Boros
2025-05-22,K016,A,34,6769,6624,145,25.1,73.8,91.8,78.7,1.93,23.32,1.83,Boros
2025-07-09,K063,D,31,6051,5869,182,31.0,85.4,56.7,95.0,1.43,14.93,1.78,Sedang
2025-04-13,K005,A,32,6675,6531,144,28.4,79.1,97.2,117.2,1.83,20.72,1.73,Sedang
2025-12-12,K058,C,28,3559,3457,102,32.4,63.0,81.9,86.8,1.38,8.98,1.89,Boros
2025-08-25,K089,E,31,5744,5598,146,29.9,86.7,92.9,80.0,1.6,16.59,1.85,Boros
2025-08-08,K029,B,35,4757,4644,113,29.2,69.7,86.6,84.4,1.88,16.52,1.89,Boros
2025-09-07,K023,B,29,4015,3916,99,30.8,67.7,89.9,99.7,1.82,13.22,1.86,Boros
2025-01-04,K069,D,31,7000,6801,199,30.9,82.7,69.0,119.3,1.5,18.17,1.78,Sedang
2025-06-28,K061,D,30,5896,5725,171,30.7,85.3,76.0,108.9,1.35,14.29,1.85,Boros
2025-09-21,K090,E,34,4516,4393,123,32.9,65.4,69.2,87.2,1.88,15.39,1.86,Boros
2025-08-05,K075,D,35,4571,4439,132,29.1,76.4,74.1,106.4,1.45,12.41,1.92,Boros
2025-04-06,K082,E,32,6952,6779,173,30.4,80.8,76.2,97.5,1.74,22.08,1.87,Boros
2025-03-25,K062,D,31,5782,5624,158,29.2,84.3,74.6,94.8,1.49,15.31,1.82,Boros
2025-12-05,K052,C,31,6222,6059,163,30.0,60.2,74.9,103.0,1.72,19.47,1.87,Boros
2025-02-26,K016,A,33,5993,5864,129,27.7,75.4,90.0,96.7,2.04,20.75,1.73,Sedang
2025-05-02,K027,B,32,3510,3427,83,28.6,62.7,74.9,103.8,1.89,11.29,1.74,Sedang
2025-08-05,K071,D,31,6602,6433,169,27.4,89.3,75.5,92.3,1.33,15.87,1.86,Boros
2025-05-06,K039,B,31,4958,4843,115,28.0,69.8,82.0,85.9,1.84,15.99,1.8,Sedang
2025-12-14,K001,A,33,7780,7621,159,25.4,73.0,90.0,101.1,2.26,29.69,1.72,Sedang
2025-06-22,K032,B,31,6584,6446,138,28.8,66.1,82.1,99.1,2.03,22.11,1.69,Sedang
2025-09-16,K054,C,31,3539,3445,94,31.3,69.7,82.8,80.8,1.59,10.76,1.96,Boros
2025-12-23,K092,E,31,6324,6173,151,29.9,67.4,94.9,114.0,1.68,18.55,1.79,Sedang
2025-03-23,K006,A,32,6136,6006,130,27.5,80.2,79.3,97.2,2.02,20.91,1.72,Sedang
2025-08-12,K018,A,28,3384,3314,70,24.8,81.2,95.2,93.4,1.72,9.41,1.65,Sedang
2025-11-07,K021,B,32,5048,4940,108,28.9,71.6,83.8,120.5,1.8,16.28,1.83,Boros
2025-06-22,K051,C,31,3770,3677,93,29.0,74.2,79.3,114.0,1.25,8.25,1.79,Sedang
2025-09-25,K050,C,33,7859,7637,222,30.5,62.7,95.3,121.9,1.25,18.7,1.95,Boros
2025-10-21,K098,E,29,4358,4237,121,33.0,72.9,89.5,93.0,1.72,13.11,1.8,Boros
2025-09-04,K030,B,28,6031,5877,154,31.4,77.1,83.4,99.8,1.58,16.95,1.83,Boros
2025-02-03,K069,D,30,7455,7264,191,27.7,73.1,76.4,101.1,1.54,19.31,1.73,Sedang
2025-07-03,K004,A,32,6900,6762,138,26.7,75.1,86.8,100.4,2.1,23.89,1.68,Sedang
2025-11-22,K022,B,33,5296,5177,119,28.3,64.0,75.8,88.4,1.82,16.0,1.7,Sedang
2025-05-01,K047,C,28,7720,7503,217,31.7,58.6,90.8,97.8,1.61,22.42,1.85,Boros
2025-09-10,K099,E,31,3364,3284,80,29.1,72.5,80.8,97.6,1.73,9.59,1.69,Sedang
2025-01-14,K026,B,30,7580,7401,179,29.8,74.5,84.8,94.2,1.79,23.13,1.75,Sedang
2025-07-21,K028,B,28,4603,4493,110,30.3,65.6,83.3,101.7,1.84,15.11,1.83,Boros
2025-03-08,K010,A,34,5472,5361,111,25.1,77.8,98.9,113.7,1.98,19.36,1.83,Boros
2025-06-29,K006,A,33,5563,5445,118,26.6,77.8,97.5,72.2,1.99,18.32,1.69,Sedang
2025-11-27,K094,E,33,3846,3751,95,29.4,75.6,86.2,98.7,1.85,12.85,1.85,Boros
2025-01-26,K075,D,30,7654,7414,240,31.4,75.0,62.7,94.3,1.28,17.27,1.82,Boros
2025-03-31,K001,A,32,7785,7626,159,25.2,75.1,88.7,102.0,2.02,26.66,1.73,Sedang
2025-09-18,K010,A,28,5038,4935,103,26.7,69.4,85.1,106.0,1.93,15.56,1.64,Sedang
2025-04-04,K035,B,28,6850,6705,145,27.7,63.8,91.0,87.7,1.97,23.48,1.78,Sedang
2025-11-12,K014,A,29,4065,3972,93,25.1,80.2,86.4,98.4,1.74,12.24,1.77,Sedang
2025-10-23,K089,E,28,5712,5547,165,33.4,78.4,74.4,110.6,1.5,16.49,1.98,Boros
2025-08-13,K017,A,30,5035,4925,110,26.3,82.2,76.3,58.3,1.74,15.19,1.77,Sedang
2025-08-19,K094,E,31,4865,4737,128,31.1,75.1,87.1,94.7,1.87,16.81,1.9,Boros
2025-04-28,K097,E,31,3793,3691,102,32.2,67.6,74.0,98.0,1.9,13.8,1.97,Boros
2025-10-10,K043,C,35,3362,3276,86,29.6,70.0,70.9,101.7,1.57,9.28,1.8,Sedang
2025-08-06,K012,A,31,5935,5808,127,25.7,75.2,100.0,88.4,1.89,19.12,1.75,Sedang
2025-11-24,K037,B,30,6797,6634,163,30.3,69.1,86.0,91.2,1.89,22.72,1.82,Boros
2025-09-14,K011,A,28,3574,3496,78,28.5,74.3,90.6,88.3,1.94,11.49,1.69,Sedang
2025-03-31,K025,B,28,7858,7680,178,28.2,65.9,85.8,115.4,1.6,21.24,1.73,Sedang
2025-07-01,K051,C,28,5713,5558,155,31.5,64.1,64.4,115.0,1.41,14.27,1.82,Boros
2025-02-18,K028,B,32,3951,3866,85,28.1,70.3,75.4,134.8,1.5,9.47,1.63,Sedang
2025-11-14,K083,E,35,6057,5927,130,27.6,67.7,73.1,94.6,1.91,20.13,1.77,Sedang
2025-04-23,K066,D,32,7873,7649,224,31.9,78.1,53.5,98.6,1.61,21.8,1.78,Sedang
2025-06-11,K074,D,32,5490,5348,142,29.5,76.1,67.5,106.2,1.73,15.43,1.67,Sedang
2025-02-23,K072,D,35,4311,4192,119,31.2,84.9,54.8,104.6,1.63,12.15,1.78,Sedang
2025-06-14,K046,C,29,3513,3416,97,31.0,63.5,66.5,93.0,1.37,8.82,1.89,Boros
2025-10-30,K001,A,34,4279,4192,87,23.7,80.4,93.7,80.5,2.24,15.76,1.68,Sedang
2025-08-14,K094,E,30,5768,5633,135,28.1,64.2,82.3,98.7,1.76,17.52,1.77,Sedang
2025-01-14,K081,E,33,6798,6619,179,31.2,68.2,87.5,82.0,1.65,20.8,1.9,Boros
2025-03-16,K037,B,29,7683,7511,172,28.7,76.8,89.9,97.2,2.07,27.7,1.78,Sedang
2025-04-27,K087,E,32,7797,7586,211,33.1,76.1,92.1,91.0,1.8,27.25,1.99,Boros
2025-03-05,K046,C,31,4250,4128,122,32.2,72.2,74.1,101.0,1.45,11.75,1.96,Boros
2025-04-08,K054,C,29,7460,7253,207,32.4,58.3,74.1,104.1,1.55,21.07,1.87,Boros
2025-07-20,K098,E,28,7120,6958,162,28.1,69.3,80.2,98.9,1.84,23.12,1.81,Boros
2025-10-18,K039,B,29,7090,6916,174,29.2,74.6,85.2,82.2,1.67,20.33,1.76,Sedang
2025-01-17,K049,C,35,6152,5986,166,31.4,57.0,80.0,105.4,1.8,21.51,2.0,Boros
2025-07-17,K087,E,35,6990,6805,185,32.4,68.9,87.3,106.9,1.9,25.26,1.95,Boros
2025-03-27,K026,B,33,4466,4369,97,26.9,73.4,88.3,93.2,1.98,14.93,1.73,Sedang
2025-01-14,K017,A,34,6959,6806,153,23.8,81.4,90.5,72.0,2.14,24.48,1.68,Sedang
2025-12-15,K004,A,31,6810,6674,136,27.0,78.6,92.2,54.2,2.14,25.16,1.76,Sedang
2025-10-29,K039,B,28,5424,5285,139,30.3,57.6,77.9,93.0,1.5,14.54,1.83,Boros
2025-12-25,K010,A,35,7388,7237,151,27.6,74.3,88.8,95.0,2.1,25.89,1.71,Sedang
2025-07-12,K025,B,31,6415,6270,145,28.1,74.0,76.7,86.5,1.95,21.21,1.73,Sedang
2025-03-03,K011,A,32,3936,3852,84,24.2,77.5,89.9,90.8,1.99,13.18,1.72,Sedang
2025-09-19,K003,A,31,5109,5006,103,26.1,67.5,94.0,93.7,2.23,18.88,1.69,Sedang
2025-08-04,K017,A,28,6681,6534,147,25.4,78.4,92.7,111.5,1.88,22.21,1.8,Boros
2025-04-15,K011,A,29,7135,6982,153,23.7,74.8,84.4,78.3,1.95,23.54,1.73,Sedang
2025-09-18,K025,B,29,7688,7515,173,27.1,70.5,87.8,90.8,1.75,23.0,1.74,Sedang
2025-10-28,K040,B,29,4312,4200,112,32.3,75.2,78.8,97.2,1.91,15.01,1.87,Boros
2025-08-04,K006,A,28,3556,3481,75,26.2,77.5,93.5,104.7,1.78,10.7,1.73,Sedang
2025-09-06,K058,C,31,4547,4424,123,30.8,68.0,68.3,91.3,1.78,14.46,1.84,Boros
2025-08-12,K039,B,29,7770,7588,182,28.1,70.8,78.4,81.4,1.79,25.11,1.85,Boros
2025-03-15,K070,D,32,7826,7588,238,31.8,78.0,66.3,85.8,1.34,19.38,1.9,Boros
2025-01-17,K064,D,35,5428,5264,164,31.1,79.8,74.8,91.8,1.34,13.97,1.98,Boros
2025-01-07,K076,D,31,3038,2951,87,31.7,73.9,64.8,101.7,1.36,6.97,1.73,Sedang
2025-10-12,K015,A,33,7964,7784,180,24.3,72.2,91.5,92.2,1.93,26.95,1.79,Sedang
2025-03-25,K059,C,31,4855,4737,118,28.8,66.5,69.5,96.8,1.82,15.4,1.79,Sedang
2025-10-07,K025,B,33,6633,6471,162,29.9,69.9,79.9,107.4,1.79,20.62,1.78,Sedang
2025-12-15,K071,D,33,4875,4739,136,30.3,87.2,73.0,99.2,1.7,15.68,1.95,Boros
2025-01-09,K100,E,32,6788,6625,163,28.9,66.6,65.1,99.7,1.65,19.94,1.83,Boros
2025-03-13,K081,E,33,5043,4897,146,33.9,71.4,74.5,112.7,1.71,16.03,1.91,Boros
2025-09-24,K041,C,33,3935,3837,98,29.8,58.0,74.6,99.5,1.74,11.76,1.76,Sedang
2025-08-30,K032,B,28,6174,6045,129,28.8,66.6,69.7,93.9,1.96,20.29,1.71,Sedang
2025-06-15,K066,D,34,3316,3219,97,32.7,82.9,72.5,96.8,1.66,10.44,1.95,Boros
2025-05-03,K067,D,29,7206,7004,202,30.1,82.0,63.5,110.7,1.46,18.45,1.8,Boros
2025-03-25,K007,A,34,5134,5031,103,28.1,82.5,93.9,94.7,2.39,21.09,1.75,Sedang
2025-01-25,K012,A,34,4082,3995,87,25.1,72.1,90.1,98.1,2.11,14.03,1.67,Sedang
2025-07-21,K003,A,34,3158,3094,64,23.9,73.1,85.6,67.5,2.29,12.33,1.74,Sedang
2025-01-24,K058,C,32,5382,5251,131,28.1,77.0,67.8,72.9,1.85,16.08,1.66,Sedang
2025-09-19,K034,B,32,6591,6440,151,27.2,58.6,73.8,84.2,1.77,20.02,1.76,Sedang
2025-08-28,K100,E,32,5365,5213,152,33.1,53.4,89.5,109.8,1.63,17.1,2.02,Boros
2025-04-21,K060,C,28,5113,4964,149,34.3,66.7,89.4,98.3,1.66,16.02,1.94,Boros
2025-08-17,K035,B,34,6778,6631,147,28.5,77.7,81.4,72.8,1.92,22.51,1.77,Sedang
2025-03-21,K014,A,31,5360,5238,122,23.0,81.2,89.3,82.1,1.88,17.37,1.77,Sedang
2025-10-11,K064,D,31,4274,4152,122,29.5,82.2,82.5,104.8,1.33,10.71,1.94,Boros
2025-11-30,K061,D,32,3275,3182,93,30.1,74.8,63.2,98.2,1.6,9.43,1.85,Boros
2025-08-30,K053,C,34,6923,6727,196,31.8,71.5,78.6,101.5,1.41,18.66,1.96,Boros
2025-05-06,K023,B,29,7612,7429,183,30.2,64.7,75.8,109.5,1.8,23.19,1.73,Sedang
2025-06-24,K086,E,29,3302,3214,88,31.2,74.9,82.5,104.6,1.68,9.91,1.83,Boros
2025-11-24,K076,D,28,3703,3599,104,30.9,85.0,69.0,109.4,1.43,9.09,1.77,Sedang
2025-03-04,K070,D,32,6681,6491,190,29.9,82.1,70.3,104.6,1.32,15.71,1.83,Boros
2025-04-12,K004,A,32,3821,3745,76,26.6,78.8,87.3,87.7,2.14,13.87,1.73,Sedang
2025-03-30,K071,D,30,7400,7184,216,31.7,90.1,57.8,120.9,1.2,14.58,1.69,Sedang
2025-10-18,K096,E,30,5501,5339,162,33.1,90.0,87.1,95.9,1.61,16.85,1.96,Boros
2025-04-27,K028,B,30,5545,5422,123,28.6,61.8,74.9,95.0,1.99,18.85,1.75,Sedang
2025-01-21,K043,C,34,7882,7654,228,32.9,64.6,77.2,107.3,1.6,23.33,1.9,Boros
2025-11-30,K034,B,34,3105,3034,71,26.0,64.5,81.4,77.1,2.13,11.88,1.84,Boros
2025-06-07,K036,B,30,5359,5235,124,27.0,68.9,87.6,79.3,1.71,15.92,1.78,Sedang
2025-10-25,K042,C,34,4300,4184,116,31.2,51.3,81.4,109.6,1.66,13.57,1.95,Boros
2025-08-08,K086,E,32,4072,3977,95,27.2,86.0,72.0,73.5,1.8,12.53,1.75,Sedang
2025-12-13,K026,B,29,6040,5908,132,27.4,76.2,87.4,90.4,1.93,20.06,1.76,Sedang
2025-08-30,K055,C,32,4546,4430,116,30.7,71.6,70.3,100.2,1.91,16.03,1.89,Boros
2025-03-19,K010,A,34,7008,6865,143,24.8,71.5,88.8,83.2,2.09,26.24,1.83,Boros
2025-10-07,K075,D,35,3072,2978,94,30.9,79.0,79.4,96.0,1.42,8.82,2.08,Boros
2025-12-19,K008,A,29,7255,7109,146,24.7,71.2,81.9,90.0,1.99,24.16,1.7,Sedang
2025-09-21,K021,B,30,6874,6726,148,29.0,71.9,87.0,68.1,1.87,21.13,1.68,Sedang
2025-10-13,K098,E,34,3632,3538,94,31.2,77.6,61.8,122.0,1.55,9.9,1.8,Boros
2025-01-12,K055,C,35,3285,3191,94,33.9,56.6,65.3,99.7,1.73,10.83,1.96,Boros
2025-03-25,K021,B,35,5556,5442,114,27.4,71.8,83.4,86.8,2.07,19.8,1.76,Sedang
2025-10-19,K014,A,30,7930,7749,181,24.2,73.8,83.6,77.9,1.8,23.28,1.67,Sedang
2025-07-09,K052,C,30,3243,3140,103,35.4,65.2,65.9,123.3,1.5,9.61,2.05,Boros
2025-08-27,K012,A,29,6919,6771,148,26.6,80.4,76.5,115.3,1.8,20.86,1.71,Sedang
2025-01-14,K007,A,29,7361,7214,147,25.3,70.5,84.2,98.6,2.08,25.75,1.72,Sedang
2025-10-08,K025,B,35,5946,5812,134,25.5,71.5,80.7,75.7,1.9,20.1,1.82,Boros
2025-01-25,K099,E,34,7223,7057,166,27.0,50.0,81.2,108.3,1.82,23.3,1.82,Boros
2025-04-02,K096,E,33,4953,4827,126,29.2,70.8,60.2,84.2,1.52,13.19,1.8,Boros
2025-12-11,K010,A,35,4638,4544,94,25.7,73.5,86.3,82.2,2.29,19.1,1.83,Boros
2025-09-30,K040,B,33,3767,3685,82,27.4,64.9,77.8,102.2,1.87,11.96,1.74,Sedang
2025-01-07,K099,E,32,5293,5172,121,24.1,62.7,100.0,82.2,1.83,16.72,1.76,Sedang
2025-05-29,K079,D,32,5385,5240,145,29.2,80.9,70.7,76.2,1.55,15.12,1.87,Boros
2025-06-09,K045,C,31,5557,5406,151,29.7,77.4,74.8,70.0,1.45,14.23,1.81,Boros
2025-02-03,K068,D,31,5444,5288,156,31.8,77.8,62.0,69.0,1.51,14.96,1.88,Boros
2025-01-17,K064,D,35,3714,3603,111,30.7,79.2,69.2,106.3,1.35,9.51,1.96,Boros
2025-09-21,K034,B,35,4031,3935,96,28.9,70.8,86.8,88.2,1.89,13.72,1.85,Boros
2025-07-19,K077,D,33,3772,3666,106,30.4,86.5,64.8,88.7,1.4,8.93,1.74,Sedang
2025-12-18,K094,E,28,5376,5247,129,28.7,65.2,71.5,97.8,1.79,15.74,1.68,Sedang
2025-02-18,K066,D,29,3769,3674,95,28.7,79.7,61.8,111.8,1.42,9.09,1.74,Sedang
2025-06-30,K013,A,29,5230,5122,108,25.5,76.8,92.1,75.0,2.05,17.75,1.69,Sedang
2025-06-02,K073,D,31,6359,6173,186,31.3,78.2,53.1,85.9,1.39,15.1,1.76,Sedang
2025-06-23,K051,C,34,5708,5566,142,29.3,68.3,84.1,93.4,1.87,18.87,1.81,Boros
2025-10-29,K008,A,33,6868,6730,138,26.6,77.5,91.7,77.6,2.08,24.93,1.78,Sedang
2025-09-15,K013,A,30,5325,5215,110,26.0,77.9,84.7,84.0,1.98,17.18,1.67,Sedang
2025-07-08,K043,C,28,3361,3265,96,32.7,59.9,86.5,107.8,1.42,8.97,1.94,Boros
2025-05-24,K058,C,30,6562,6373,189,32.6,68.7,81.2,99.8,1.7,20.75,1.91,Boros
2025-01-10,K089,E,35,5281,5142,139,30.9,79.6,83.3,125.0,1.6,16.32,1.99,Boros
2025-11-10,K090,E,35,4404,4305,99,25.4,65.4,68.0,83.9,1.86,13.87,1.73,Sedang
2025-01-20,K004,A,33,4080,3999,81,24.7,70.6,91.4,95.3,2.04,14.61,1.79,Sedang
2025-01-20,K045,C,32,5947,5765,182,33.3,65.5,73.0,133.4,1.38,16.39,2.06,Boros
2025-06-11,K024,B,35,5974,5817,157,30.9,71.9,91.4,86.9,1.92,21.05,1.88,Boros
2025-07-11,K100,E,28,5810,5676,134,23.2,67.4,81.3,91.9,1.7,16.69,1.73,Sedang
2025-09-08,K092,E,33,5010,4885,125,30.9,67.7,85.9,88.7,2.03,18.84,1.9,Boros
2025-07-17,K015,A,33,4900,4789,111,25.9,83.4,81.1,102.5,1.88,15.22,1.69,Sedang
2025-09-02,K051,C,32,4625,4505,120,30.4,50.0,64.6,79.9,1.6,11.85,1.64,Sedang
2025-05-06,K004,A,33,4619,4527,92,25.5,72.7,96.9,115.9,1.99,15.13,1.68,Sedang
2025-02-05,K024,B,28,5643,5511,132,27.1,60.3,76.3,78.1,1.64,15.5,1.72,Sedang
2025-09-07,K082,E,33,6726,6574,152,24.1,66.2,85.1,104.3,1.88,22.05,1.78,Sedang
2025-07-18,K048,C,32,5352,5200,152,33.6,72.5,72.0,115.3,1.49,15.08,1.95,Boros
2025-12-11,K019,A,28,5090,4979,111,24.8,72.0,96.1,93.5,1.74,14.89,1.72,Sedang
2025-03-27,K041,C,29,3097,3003,94,35.4,62.4,82.5,119.1,1.48,9.12,2.05,Boros
2025-05-05,K016,A,30,4854,4750,104,24.5,76.1,93.0,84.4,1.87,15.32,1.72,Sedang
2025-02-01,K049,C,33,3781,3684,97,30.2,60.4,70.9,117.9,1.49,10.14,1.84,Boros
2025-06-17,K027,B,33,5426,5291,135,29.8,86.0,81.5,96.9,1.73,15.96,1.74,Sedang
2025-07-16,K050,C,32,5285,5148,137,28.2,73.2,76.6,101.8,1.63,14.55,1.74,Sedang
2025-02-11,K082,E,32,7135,6931,204,34.0,63.1,61.5,113.8,1.61,21.07,1.89,Boros
